,Date,Miles,Time,Seconds,Minutes,Minutes_per_Mile,Day_of_week
32,2014-08-30,0.0,,,,,Saturday
33,2014-08-31,0.0,,,,,Sunday
34,2014-09-01,0.0,,,,,Monday
35,2014-09-02,2.0,,,,,Tuesday
36,2014-09-03,0.0,,,,,Wednesday
37,2014-09-04,3.05,,,,,Thursday
38,2014-09-05,3.05,0:23:50,1430.0,23.83333333333333,7.814207650273224,Friday
39,2014-09-06,0.0,,,,,Saturday
40,2014-09-07,0.0,,,,,Sunday
41,2014-09-08,3.05,0:23:11,1391.0,23.18333333333333,7.601092896174864,Monday
42,2014-09-09,0.0,,,,,Tuesday
43,2014-09-10,1.37,0:08:57,537.0,8.95,6.532846715328466,Wednesday
44,2014-09-11,0.0,,,,,Thursday
45,2014-09-12,3.05,0:23:46,1426.0,23.766666666666666,7.792349726775956,Friday
46,2014-09-13,0.0,,,,,Saturday
47,2014-09-14,0.0,,,,,Sunday
48,2014-09-15,0.0,,,,,Monday
49,2014-09-16,3.05,0:22:48,1368.0,22.8,7.475409836065574,Tuesday
50,2014-09-17,1.5,0:11:06,666.0,11.1,7.399999999999999,Wednesday
51,2014-09-18,0.0,,,,,Thursday
52,2014-09-19,1.37,0:09:45,585.0,9.75,7.116788321167883,Friday
53,2014-09-20,0.0,,,,,Saturday
54,2014-09-21,4.03,0:30:22,1822.0,30.36666666666667,7.535153019023986,Sunday
55,2014-09-22,0.0,,,,,Monday
56,2014-09-23,0.0,,,,,Tuesday
57,2014-09-24,0.0,,,,,Wednesday
58,2014-09-25,0.0,,,,,Thursday
59,2014-09-26,0.0,,,,,Friday
60,2014-09-27,0.0,,,,,Saturday
61,2014-09-28,1.5,0:11:18,678.0,11.3,7.533333333333334,Sunday
62,2014-09-28,1.5,0:11:18,678.0,11.3,7.533333333333334,Sunday
63,2014-09-29,3.05,0:21:55,1315.0,21.91666666666667,7.1857923497267775,Monday
64,2014-09-30,0.0,,,,,Tuesday
65,2014-10-01,0.0,,,,,Wednesday
66,2014-10-02,0.0,,,,,Thursday
67,2014-10-03,0.0,,,,,Friday
68,2014-10-04,4.63,0:40:00,2400.0,40.0,8.639308855291576,Saturday
69,2014-10-04,1.87,,,,,Saturday
70,2014-10-04,4.08,0:33:00,1980.0,33.0,8.088235294117647,Saturday
71,2014-10-05,0.0,,,,,Sunday
72,2014-10-06,0.0,,,,,Monday
73,2014-10-07,0.0,,,,,Tuesday
74,2014-10-08,0.0,,,,,Wednesday
75,2014-10-09,0.0,,,,,Thursday
76,2014-10-10,0.0,,,,,Friday
77,2014-10-11,0.0,,,,,Saturday
78,2014-10-12,3.05,0:22:37,1357.0,22.61666666666667,7.415300546448088,Sunday
79,2014-10-13,0.0,,,,,Monday
80,2014-10-14,1.37,0:09:05,545.0,9.083333333333334,6.630170316301702,Tuesday
81,2014-10-15,0.0,,,,,Wednesday
82,2014-10-16,0.0,,,,,Thursday
83,2014-10-17,0.0,,,,,Friday
84,2014-10-18,1.5,0:09:40,580.0,9.666666666666666,6.444444444444443,Saturday
85,2014-10-18,1.5,,,,,Saturday
86,2014-10-18,1.37,,,,,Saturday
87,2014-10-19,0.0,,,,,Sunday
88,2014-10-20,1.37,0:08:36,516.0,8.6,6.2773722627737225,Monday
89,2014-10-21,0.0,,,,,Tuesday
90,2014-10-22,0.0,,,,,Wednesday
91,2014-10-23,0.0,,,,,Thursday
92,2014-10-24,0.0,,,,,Friday
93,2014-10-25,2.0,,,,,Saturday
94,2014-10-26,0.0,,,,,Sunday
95,2014-10-27,0.0,,,,,Monday
96,2014-10-28,0.0,,,,,Tuesday
97,2014-10-29,0.0,,,,,Wednesday
98,2014-10-30,0.0,,,,,Thursday
99,2014-10-31,2.01,,,,,Friday
100,2014-11-01,0.0,,,,,Saturday
101,2014-11-02,1.37,0:08:43,523.0,8.716666666666667,6.3625304136253025,Sunday
102,2014-11-03,5.3,0:39:26,2366.0,39.43333333333333,7.4402515723270435,Monday
103,2014-11-04,3.05,0:22:12,1332.0,22.2,7.278688524590164,Tuesday
